Date,Price,Open,High,Low,Vol.,,Change %
7/21/2021,178.5,181,181,178,240,,-0.0105
7/20/2021,180.4,181,181,180.3,340,,0.0112
7/19/2021,178.4,179.5,180,177.5,290,,0.0088
7/16/2021,176.85,172.7,177,172,480,,0.0348
7/15/2021,170.9,169,172,169,220,,0.0059
7/14/2021,169.9,167,169.9,166,270,,0.0235
7/13/2021,166,164.75,166.5,164,200,,0.0076
7/12/2021,164.75,164.3,164.5,164.25,20,,0.0027
7/9/2021,164.3,166.5,166.5,164.5,160,,-0.0162
7/8/2021,167,166.5,166.5,166,80,,-0.1034
7/7/2021,186.25,185,185,185,10,,0
7/6/2021,186.25,187,187,185,20,,0.0084
7/5/2021,184.7,184.7,184.7,184.7,,,-0.0162
7/2/2021,187.75,187.75,187.75,187.75,,,-0.0124
7/1/2021,190.1,190.1,190.1,190.1,,,0.0005
6/30/2021,190,187.5,187.5,187.5,30,,0.0411
6/29/2021,182.5,182.5,182.5,182.5,,,-0.0003
6/28/2021,182.55,182.55,182.55,182.55,,,0.0178
6/25/2021,179.35,179.35,179.35,179.35,,,-0.0088
6/24/2021,180.95,180.95,180.95,180.95,,,-0.0123
6/23/2021,183.2,183.2,183.2,183.2,,,0.0008
6/22/2021,183.05,183.05,183.05,183.05,,,-0.0038
6/21/2021,183.75,183.75,183.75,183.75,,,-0.0247
6/18/2021,188.4,188.4,188.4,188.4,,,0.0143
6/17/2021,185.75,185.75,185.75,185.75,,,-0.0146
6/16/2021,188.5,188.5,188.5,188.5,,,0.0032
6/15/2021,187.9,187.9,187.9,187.9,,,-0.0214
6/14/2021,192,192,192,192,,,0
6/11/2021,192,192,192,192,40,,-0.0303
6/10/2021,198,198,198,198,,,-0.006
6/9/2021,199.2,199.2,199.2,199.2,,,-0.0136
6/8/2021,201.95,201.95,201.95,201.95,,,0.0012
6/7/2021,201.7,201.7,201.7,201.7,,,-0.001
6/4/2021,201.9,201.9,201.9,201.9,,,-0.0042
6/3/2021,202.75,203,203,203,20,,0.0261
6/2/2021,197.6,197.6,197.6,197.6,,,-0.012
6/1/2021,200,200,200,200,,,0.0256
5/28/2021,195,195,195,195,,,-0.0051
5/27/2021,196,196,196,196,,,0.0235
5/26/2021,191.5,192,192,192,10,,-0.0023
5/25/2021,191.95,191.95,191.95,191.95,,,-0.0085
5/24/2021,193.6,193.6,193.6,193.6,,,-0.0392
5/21/2021,201.5,201.5,201.5,201.5,,,0
5/20/2021,201.5,201.5,201.5,201.5,,,-0.0123
5/19/2021,204,205.5,205.5,205.5,,,0
5/18/2021,204,204,204,204,,,-0.0027
5/17/2021,204.55,204.55,204.55,204.55,,,-0.0388
5/14/2021,212.8,215,215,214,1120,,0.0038
5/13/2021,212,212,212,212,,,0
5/12/2021,212,212,215,212,30,,0.0324
5/11/2021,205.35,205.35,205.35,205.35,,,0.0054
5/10/2021,204.25,204.25,204.25,204.25,,,-0.0133
5/7/2021,207,207,207,207,20,,0
5/6/2021,207,207,207,207,60,,0
5/5/2021,207,207,207,207,30,,0.0073
5/4/2021,205.5,206.5,206.5,206.5,10,,0.0049
4/30/2021,204.5,204,204,203.25,20,,-0.0012
4/29/2021,204.75,205,205,205,10,,-0.0109
4/28/2021,207,204,204.4,204,10,,-0.0089
4/27/2021,208.85,211,212,207,230,,-0.0055
4/26/2021,210,203.25,210,203.25,200,,0.0138
4/23/2021,207.15,209.75,209.75,204,40,,-0.0041
4/22/2021,208,205.8,209.95,205.55,260,,0.0132
4/21/2021,205.3,203,205.5,201,320,,0.0196
4/20/2021,201.35,200.6,202.5,200,90,,0.0108
4/19/2021,199.2,201.25,201.25,198.5,260,,0.001
4/16/2021,199,201,201.25,199,140,,-0.0112
4/15/2021,201.25,202,202,200,30,,0.0012
4/14/2021,201,200,202,200,110,,0.0101
4/13/2021,199,197.25,199,196.5,100,,0.012
4/12/2021,196.65,195.5,199,194.75,70,,0.0033
4/9/2021,196,196,198,196,90,,0.0051
4/8/2021,195,190.75,195,190.75,80,,0.0204
4/7/2021,191.1,188.25,190,188.25,100,,0.0111
4/6/2021,189,191,191,189,10,,-0.0071
4/1/2021,190.35,192.05,192.05,189.75,110,,-0.0188
3/31/2021,194,190.5,194,188,160,,0.0211
3/30/2021,190,191,192,190,80,,-0.015
3/29/2021,192.9,195.1,195.1,193,100,,-0.0146
3/26/2021,195.75,194.25,196,194,30,,0.0095
3/25/2021,193.9,197,197,194,80,,-0.0157
3/24/2021,197,199.7,199.75,197,120,,-0.0056
3/23/2021,198.1,198.1,198.1,198.1,,,0
3/22/2021,198.1,198.1,198.1,198.1,,,0.0013
3/19/2021,197.85,197.85,197.85,197.85,,,-0.0063
3/18/2021,199.1,199.1,199.1,199.1,,,-0.0062
3/17/2021,200.35,200.35,200.35,200.35,,,0
3/16/2021,200.35,200.35,200.35,200.35,,,-0.0128
3/15/2021,202.95,202.95,202.95,202.95,,,-0.0069
3/12/2021,204.35,204.35,204.35,204.35,,,-0.0012
3/11/2021,204.6,204.6,204.6,204.6,,,-0.0037
3/10/2021,205.35,205.35,205.35,205.35,,,-0.0027
3/9/2021,205.9,205.9,205.9,205.9,,,-0.0036
3/8/2021,206.65,206.65,206.65,206.65,,,0.0039
3/5/2021,205.85,204,204,204,20,,0
3/4/2021,205.85,205.85,205.85,205.85,,,-0.0012
3/3/2021,206.1,206.1,206.1,206.1,,,-0.0082
3/2/2021,207.8,207.8,207.8,207.8,,,0.0027
3/1/2021,207.25,207.25,207.25,207.25,,,-0.0007
2/26/2021,207.4,207.4,207.4,207.4,,,-0.0005
2/25/2021,207.5,207.5,207.5,207.5,80,,0.0036
2/24/2021,206.75,206.5,206.5,206.5,,,0.0056
2/23/2021,205.6,205.6,205.6,205.6,,,-0.0019
2/22/2021,206,206,206,206,,,0.0024
2/19/2021,205.5,205.5,205.5,205.5,,,0.0061
2/18/2021,204.25,205,205,205,10,,0.0111
2/17/2021,202,202,202,202,,,-0.0091
2/16/2021,203.85,203.85,203.85,203.85,,,0.0017
2/15/2021,203.5,203.5,203.5,203.5,,,0.015
2/12/2021,200.5,200.5,200.5,200.5,,,0.0017
2/11/2021,200.15,200.15,200.15,200.15,,,0.0025
2/10/2021,199.65,199.65,199.65,199.65,,,-0.016
2/9/2021,202.9,202.9,202.9,202.9,,,-0.001
2/8/2021,203.1,203.1,203.1,203.1,,,0.003
2/5/2021,202.5,202.5,202.5,202.5,,,0.0035
2/4/2021,201.8,201.8,201.8,201.8,,,-0.0035
2/3/2021,202.5,202.5,202.5,202.5,,,-0.0078
2/2/2021,204.1,204,204,203,30,,-0.0109
2/1/2021,206.35,205,205,205,30,,-0.006
1/29/2021,207.6,207,207.5,207,30,,0
1/28/2021,207.6,207.6,207.6,207.6,,,-0.0043
1/27/2021,208.5,208.5,208.5,208.5,,,-0.0005
1/26/2021,208.6,208.6,208.6,208.6,,,0.008
1/25/2021,206.95,206.95,206.95,206.95,,,-0.0112
1/22/2021,209.3,209.3,209.3,209.3,,,0
1/21/2021,209.3,209.3,209.3,209.3,,,-0.0095
1/20/2021,211.3,211.3,211.3,211.3,,,-0.0087
1/19/2021,213.15,213.15,213.15,213.15,,,-0.003
1/18/2021,213.8,213.8,213.8,213.8,,,0.0188
1/15/2021,209.85,209.85,209.85,209.85,,,0.0021
1/14/2021,209.4,209.4,209.4,209.4,,,0.0067
1/13/2021,208,208,208,208,,,0.0012
1/12/2021,207.75,207.75,207.75,207.75,,,0.0234
1/11/2021,203,204,204,204,10,,0.0074
1/8/2021,201.5,201.5,201.5,201.5,,,0.0045
1/7/2021,200.6,200.6,200.6,200.6,,,-0.0089
1/6/2021,202.4,202.4,202.4,202.4,,,0.0045
1/5/2021,201.5,201.5,201.5,201.5,,,0.007
1/4/2021,200.1,200.1,200.1,200.1,,,0.0081
12/31/2020,198.5,198.5,198.5,198.5,,,-0.0018
12/30/2020,198.85,198.85,198.85,198.85,,,0.0043
12/29/2020,198,198,198,198,,,0.0087
12/24/2020,196.3,196.3,196.3,196.3,,,-0.0036
12/23/2020,197,198,198,198,10,,0.0025
12/22/2020,196.5,196,196,196,10,,0.0026
12/21/2020,196,196,196,196,10,,-0.0013
12/18/2020,196.25,196.25,196.25,196.25,,,0.0093
12/17/2020,194.45,194.45,194.45,194.45,,,0.0096
12/16/2020,192.6,192.6,192.6,192.6,,,-0.0052
12/15/2020,193.6,193.6,193.6,193.6,,,-0.0018
12/14/2020,193.95,193.95,193.95,193.95,,,-0.0227
12/11/2020,198.45,198.45,198.45,198.45,,,0.0358
12/10/2020,191.6,190,192,190,20,,0.014
12/9/2020,188.95,188.95,188.95,188.95,,,0.0019
12/8/2020,188.6,188.6,188.6,188.6,,,0.0037
12/7/2020,187.9,187.9,187.9,187.9,,,0.0035
12/4/2020,187.25,187.25,187.25,187.25,,,-0.0053
12/3/2020,188.25,188.25,188.25,188.25,,,-0.011
