Date,Price,Open,High,Low,Vol.,Vol.,Change %
2021-11-03,23.231,23.57,23.665,23.045,67.16,67160,-0.0117
2021-11-02,23.507,24.13,24.14,23.43,63,63000,-0.0235
2021-11-01,24.073,23.985,24.175,23.81,37.06,37060,0.0052
2021-10-29,23.949,24.135,24.14,23.705,57.8,57800,-0.0071
2021-10-28,24.12,24.13,24.31,24.02,45.96,45960,-0.0029
2021-10-27,24.191,24.22,24.33,23.905,48.09,48090,0.0043
2021-10-26,24.088,24.65,24.655,23.925,61.76,61760,-0.0205
2021-10-25,24.592,24.395,24.695,24.365,44.83,44830,0.0058
2021-10-22,24.449,24.22,24.92,24.185,83.28,83280,0.0115
2021-10-21,24.17,24.37,24.55,24.07,58.68,58680,-0.0112
2021-10-20,24.445,23.71,24.495,23.615,73.13,73130,0.0235
2021-10-19,23.883,23.25,24.18,23.22,79.07,79070,0.0266
2021-10-18,23.264,23.38,23.495,23.035,47.03,47030,-0.0036
2021-10-15,23.349,23.565,23.645,23.1,52.25,52250,-0.0055
2021-10-14,23.477,23.1,23.625,22.925,54.28,54280,0.0132
2021-10-13,23.17,22.57,23.285,22.48,71.9,71900,0.0291
2021-10-12,22.514,22.61,22.79,22.325,42.93,42930,-0.0067
2021-10-11,22.665,22.685,22.83,22.495,29.93,29930,-0.0018
2021-10-08,22.705,22.61,23.22,22.435,69.58,69580,0.0021
2021-10-07,22.658,22.64,22.84,22.385,41.56,41560,0.0056
2021-10-06,22.532,22.635,22.7,22.185,38.89,38890,-0.0034
2021-10-05,22.608,22.725,22.73,22.38,27.04,27040,-0.0016
2021-10-04,22.644,22.6,22.805,22.29,35.18,35180,0.0048
2021-10-01,22.536,22.185,22.6,21.99,43.51,43510,0.0222
2021-09-30,22.047,21.515,22.225,21.46,66.12,66120,0.0262
2021-09-29,21.485,22.475,22.565,21.41,80.16,80160,-0.0437
2021-09-28,22.467,22.625,22.68,22.08,55.49,55490,-0.01
2021-09-27,22.694,22.395,22.865,22.39,36.11,36110,0.012
2021-09-24,22.425,22.53,22.79,22.09,41.67,41670,-0.0112
2021-09-23,22.679,22.695,22.88,22.465,43.74,43740,-0.01
2021-09-22,22.907,22.485,23.15,22.455,51.99,51990,0.0131
2021-09-21,22.611,22.265,22.72,22.21,41.11,41110,0.0183
2021-09-20,22.204,22.33,22.5,22.025,50.98,50980,-0.006
2021-09-17,22.337,22.91,23.13,22.305,66.39,66390,-0.02
2021-09-16,22.794,23.865,24,22.585,90.2,90200,-0.0423
2021-09-15,23.801,23.865,23.94,23.67,32.69,32690,-0.0035
2021-09-14,23.885,23.775,23.98,23.435,42.44,42440,0.0037
2021-09-13,23.796,23.79,23.89,23.36,47.76,47760,-0.0044
2021-09-10,23.9,24.1,24.345,23.76,39.09,39090,-0.0115
2021-09-09,24.177,23.995,24.355,23.865,43.41,43410,0.005
2021-09-08,24.056,24.39,24.48,23.94,45.43,45430,-0.013
2021-09-06,24.373,24.865,24.895,24.21,69.93,69930,-0.0173
2021-09-03,24.802,23.95,24.945,23.91,67.19,67190,0.037
2021-09-02,23.918,24.2,24.275,23.815,36.86,36860,-0.0125
2021-09-01,24.221,23.935,24.325,23.775,48.67,48670,0.009
2021-08-31,24.006,24.065,24.27,23.83,44.56,44560,0
2021-08-30,24.006,24.13,24.28,23.95,47.98,47980,-0.0043
2021-08-27,24.11,23.61,24.18,23.355,61.3,61300,0.0238
2021-08-26,23.55,23.87,23.895,23.42,55.51,55510,-0.0095
2021-08-25,23.775,23.875,23.91,23.59,56.58,56580,-0.005
2021-08-24,23.894,23.645,23.975,23.545,52.17,52170,0.0101
